cultivar,entrada,bloue,tratamiento,parcela,cod_parcela,num_planta,DDS,tallo_flora_curvatura,tallo_floral_bulbillo,follaje_porte,num_hojas,forma_longitudinal,posicion_dientes_extrbulb,forma_base,distribución_dientes,dientes_exteriores,peso_bulbo_gr,longitud_bulbo_mm,ancho_bulbo_mm,num_dientes
AJO KYAN ,KYAN24-01,1.0,T4,106.0,B1-106,7.0,172.0,9.0,9.0,2.0,14.0,3.0,3.0,3.0,1.0,1.0,60.0,38.55,45.92,4.0
AJO KYAN ,KYAN24-01,1.0,T4,106.0,B1-106,8.0,172.0,9.0,9.0,2.0,10.0,3.0,3.0,3.0,1.0,1.0,46.0,37.48,46.92,6.0
AJO KYAN ,KYAN24-01,1.0,T4,106.0,B1-106,9.0,172.0,9.0,9.0,2.0,11.0,3.0,3.0,3.0,1.0,1.0,31.0,32.86,47.27,4.0
AJO KYAN ,KYAN24-01,1.0,T4,106.0,B1-106,10.0,172.0,9.0,9.0,2.0,11.0,3.0,3.0,3.0,1.0,1.0,45.5,31.53,45.91,9.0
AJO KYAN ,KYAN24-01,2.0,T4,201.0,B2-201,1.0,172.0,9.0,9.0,2.0,17.0,3.0,3.0,3.0,1.0,1.0,38.5,46.78,48.77,2.0
AJO KYAN ,KYAN24-01,2.0,T4,201.0,B2-201,2.0,172.0,9.0,9.0,2.0,14.0,3.0,3.0,3.0,1.0,1.0,34.5,52.22,45.36,2.0
AJO KYAN ,KYAN24-01,2.0,T4,201.0,B2-201,3.0,172.0,9.0,9.0,2.0,12.0,3.0,3.0,3.0,1.0,1.0,32.0,49.67,43.77,3.0
AJO KYAN ,KYAN24-01,2.0,T4,201.0,B2-201,4.0,172.0,9.0,9.0,2.0,15.0,3.0,3.0,1.0,1.0,1.0,31.0,32.5,49.17,18.0
AJO KYAN ,KYAN24-01,2.0,T4,201.0,B2-201,5.0,172.0,9.0,9.0,2.0,15.0,3.0,3.0,3.0,1.0,1.0,37.5,48.54,40.35,4.0
AJO KYAN ,KYAN24-01,2.0,T4,201.0,B2-201,6.0,172.0,9.0,9.0,2.0,14.0,3.0,3.0,3.0,1.0,1.0,28.5,38.32,45.73,2.0
AJO KYAN ,KYAN24-01,2.0,T4,201.0,B2-201,7.0,172.0,9.0,9.0,2.0,14.0,3.0,3.0,3.0,1.0,1.0,30.5,40.47,47.31,4.0
AJO KYAN ,KYAN24-01,2.0,T4,201.0,B2-201,8.0,172.0,9.0,9.0,2.0,16.0,3.0,3.0,3.0,1.0,1.0,47.5,39.0,53.97,3.0
AJO KYAN ,KYAN24-01,2.0,T4,201.0,B2-201,9.0,172.0,9.0,9.0,2.0,14.0,3.0,3.0,3.0,1.0,1.0,51.5,50.28,51.78,5.0
AJO KYAN ,KYAN24-01,2.0,T4,201.0,B2-201,10.0,172.0,9.0,9.0,2.0,14.0,3.0,3.0,3.0,1.0,9.0,65.0,41.75,53.33,7.0
AJO CHINO,CHIN24-01,2.0,T3,202.0,B2-202,1.0,172.0,1.0,9.0,2.0,8.0,2.0,2.0,2.0,1.0,1.0,51.0,35.85,55.03,4.0
AJO CHINO,CHIN24-01,2.0,T3,202.0,B2-202,2.0,172.0,1.0,9.0,2.0,10.0,2.0,2.0,2.0,1.0,1.0,44.0,37.21,52.71,5.0
AJO CHINO,CHIN24-01,2.0,T3,202.0,B2-202,3.0,172.0,1.0,9.0,2.0,10.0,2.0,2.0,2.0,1.0,1.0,57.0,41.23,54.88,3.0
AJO CHINO,CHIN24-01,2.0,T3,202.0,B2-202,4.0,172.0,1.0,9.0,2.0,10.0,2.0,2.0,2.0,1.0,1.0,56.5,41.36,53.8,3.0
AJO CHINO,CHIN24-01,2.0,T3,202.0,B2-202,5.0,172.0,1.0,9.0,2.0,10.0,2.0,2.0,2.0,1.0,1.0,67.0,44.15,57.57,4.0
AJO CHINO,CHIN24-01,2.0,T3,202.0,B2-202,6.0,172.0,1.0,9.0,2.0,10.0,2.0,2.0,2.0,1.0,1.0,69.5,41.15,58.83,6.0
AJO CHINO,CHIN24-01,2.0,T3,202.0,B2-202,7.0,172.0,1.0,9.0,2.0,10.0,2.0,2.0,2.0,1.0,1.0,55.5,43.93,57.7,4.0
AJO CHINO,CHIN24-01,2.0,T3,202.0,B2-202,8.0,172.0,1.0,9.0,2.0,11.0,2.0,2.0,2.0,1.0,1.0,67.5,38.66,58.21,4.0
